fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-06-03;8910;APV;-0.13%;0.77%;1.51%;6.55%;1.81%
2023-06-04;8910;APV;-0.02%;0.76%;1.51%;6.54%;1.83%
2023-06-05;8910;APV;0.23%;0.88%;1.71%;6.66%;1.98%
2023-06-06;8910;APV;0.22%;1.00%;2.00%;6.61%;2.01%
2023-06-07;8910;APV;0.27%;1.17%;2.11%;6.59%;2.11%
2023-06-08;8910;APV;0.21%;1.08%;1.96%;6.77%;1.98%
2023-06-09;8910;APV;0.38%;1.33%;2.11%;6.98%;2.03%
2023-06-10;8910;APV;0.30%;1.35%;2.09%;7.01%;2.04%
2023-06-11;8910;APV;0.27%;1.35%;2.07%;6.99%;2.06%
2023-06-12;8910;APV;0.62%;1.54%;2.32%;7.16%;2.25%
2023-06-13;8910;APV;0.69%;1.17%;2.26%;7.43%;2.34%
2023-06-14;8910;APV;0.68%;1.30%;2.16%;7.48%;2.36%
2023-06-15;8910;APV;1.16%;1.38%;2.57%;7.51%;2.66%
2023-06-16;8910;APV;1.16%;1.35%;2.64%;7.63%;2.78%
2023-06-17;8910;APV;1.11%;1.27%;2.62%;7.54%;2.79%
2023-06-18;8910;APV;1.21%;1.27%;2.60%;7.52%;2.81%
2023-06-19;8910;APV;1.35%;1.37%;2.82%;7.60%;2.92%
2023-06-20;8910;APV;1.58%;1.55%;3.08%;7.63%;3.17%
2023-06-21;8910;APV;1.57%;1.50%;3.27%;7.61%;3.19%
2023-06-22;8910;APV;1.57%;1.68%;3.45%;7.33%;3.19%
2023-06-23;8910;APV;1.68%;1.54%;3.27%;7.02%;3.12%
2023-06-24;8910;APV;1.55%;1.33%;3.25%;6.72%;3.13%
2023-06-25;8910;APV;1.67%;1.34%;3.23%;6.70%;3.15%
2023-06-26;8910;APV;1.82%;1.34%;3.23%;6.68%;3.16%
2023-06-27;8910;APV;1.84%;1.61%;3.28%;6.69%;3.21%
2023-06-28;8910;APV;1.74%;1.44%;3.37%;6.69%;3.13%
2023-06-29;8910;APV;1.71%;1.54%;3.22%;6.66%;3.21%
2023-06-30;8910;APV;1.78%;1.36%;3.28%;6.53%;3.28%
